Order,ENV,block,sb,GRID,GENO,Type,TypeO,TypeS,Family,GE,D80,D100,Surv,L10,Bud,totaldays,D320,CD320
2540,HEAD,8,C,F08,Parental,HEAD,AHEAD,H1,H1-A11R,1,1,1,1,1,1,188,0,1
2541,HEAD,8,C,F14,Parental,HEAD,AHEAD,H0,H0-73,1,0,0,0,0,0,11,0,1
2542,HEAD,8,C,F16,Parental,HEAD,AHEAD,H0,H0-88,0,0,0,0,0,0,0,NA,1
2543,HEAD,8,C,G23,Parental,HEAD,AHEAD,H0,H0-71,1,1,1,1,1,1,225,0,1
2544,HEAD,8,C,H22,Parental,HEAD,AHEAD,H1,H1-A27R,0,0,0,0,0,0,0,NA,1
2545,HEAD,8,C,I24,Parental,HEAD,AHEAD,H2,H2-A06,1,1,1,1,0,0,188,0,1
2546,HEAD,8,C,I26,Parental,HEAD,AHEAD,H2,H2-A24,1,1,1,1,1,0,229,0,1
2547,HEAD,8,C,K03,Parental,HEAD,AHEAD,H2,H2-A03,1,1,1,0,0,0,147,0,1
2548,HEAD,8,C,L09,Parental,HEAD,AHEAD,H2,H2-A01,1,1,1,1,1,1,188,0,1
2549,HEAD,8,C,L26,Parental,HEAD,AHEAD,H0,H0-69,1,1,1,1,1,0,188,0,1
2550,HEAD,8,C,L29,Parental,HEAD,AHEAD,H2,H2-A18,0,0,0,0,0,0,0,NA,1
2551,HEAD,8,C,N10,Parental,HEAD,AHEAD,H0,H0-72,1,1,1,0,0,0,143,0,1
2552,HEAD,8,C,N17,Parental,HEAD,AHEAD,H2,H2-A02,1,1,1,0,0,0,99,0,1
2553,HEAD,8,C,N18,Parental,HEAD,AHEAD,H0,H0-51,0,0,0,0,0,0,0,NA,1
2554,HEAD,8,C,N36,Parental,HEAD,AHEAD,H0,H0-82,1,0,0,0,0,0,3,0,1
2555,HEAD,8,C,N38,Parental,HEAD,AHEAD,H1,H1-A19R,1,1,1,1,1,1,229,0,1
2556,HEAD,8,C,O10,Parental,HEAD,AHEAD,H1,H1-A02R,1,1,1,1,1,1,190,0,1
2557,HEAD,8,C,O20,Parental,HEAD,AHEAD,H1,H1-A17R,0,0,0,0,0,0,0,NA,1
2558,HEAD,8,C,O27,Parental,HEAD,AHEAD,H2,H2-A15,0,0,0,0,0,0,0,NA,1
2559,HEAD,8,C,O31,Parental,HEAD,AHEAD,H0,H0-68,1,1,1,1,0,0,188,0,1
2560,HEAD,9,A,A13,Parental,HEAD,AHEAD,H2,H2-A10,1,0,0,0,0,0,20,0,1
2561,HEAD,9,A,A30,Parental,HEAD,AHEAD,H2,H2-A17,1,0,0,0,0,0,14,0,1
2562,HEAD,9,A,B12,Parental,HEAD,AHEAD,H2,H2-A11,1,1,1,1,0,0,116,0,1
2563,HEAD,9,A,B37,Parental,HEAD,AHEAD,H1,H1-A21R,1,1,1,1,1,1,229,0,1
2564,HEAD,9,A,C01,Parental,HEAD,AHEAD,H0,H0-59,1,1,1,1,1,1,225,0,1
2565,HEAD,9,A,C31,Parental,HEAD,AHEAD,H2,H2-A14,1,1,1,1,1,0,263,0,1
2566,HEAD,9,A,E09,Parental,HEAD,AHEAD,H0,H0-50,1,1,1,0,1,0,147,0,1
2567,HEAD,9,A,H08,Parental,HEAD,AHEAD,H0,H0-52,1,0,0,0,0,0,17,0,1
2568,HEAD,9,A,I32,Parental,HEAD,AHEAD,H0,H0-61,0,0,0,0,0,0,0,NA,1
2569,HEAD,9,A,I35,Parental,HEAD,AHEAD,H1,H1-A23R,1,1,1,1,0,0,116,0,1
2570,HEAD,9,A,I38,Parental,HEAD,AHEAD,H0,H0-67,0,0,0,0,0,0,0,NA,1
2571,HEAD,9,A,J15,Parental,HEAD,AHEAD,H1,H1-A29R,1,1,1,1,1,0,227,0,1
2572,HEAD,9,A,J17,Parental,HEAD,AHEAD,H2,H2-A28,1,0,1,1,0,0,88,0,1
2573,HEAD,9,A,K11,Parental,HEAD,AHEAD,H0,H0-78,1,1,1,1,0,0,186,0,1
2574,HEAD,9,A,L05,Parental,HEAD,AHEAD,H0,H0-56,0,0,0,0,0,0,0,NA,1
2575,HEAD,9,A,M05,Parental,HEAD,AHEAD,H1,H1-A16R,1,1,1,1,1,0,188,0,1
2576,HEAD,9,A,M23,Parental,HEAD,AHEAD,H0,H0-190,1,1,0,0,1,0,77,0,1
2577,HEAD,9,A,M26,Parental,HEAD,AHEAD,H0,H0-76,1,1,1,1,0,0,186,0,1
2578,HEAD,9,A,N13,Parental,HEAD,AHEAD,H2,H2-A21,1,1,1,1,1,0,188,0,1
2579,HEAD,9,A,N14,Parental,HEAD,AHEAD,H2,H2-A05,1,1,1,1,0,0,188,0,1
2580,HEAD,9,A,N32,Parental,HEAD,AHEAD,H0,H0-54,1,1,1,1,1,0,227,0,1
2581,HEAD,9,A,N35,Parental,HEAD,AHEAD,H2,H2-A20,1,1,1,1,0,0,287,1,0
2582,HEAD,9,B,B18,Parental,HEAD,AHEAD,H1,H1-A03R,1,1,1,1,1,0,289,1,0
2583,HEAD,9,B,B33,Parental,HEAD,AHEAD,H1,H1-A30R,1,1,1,1,1,1,231,0,1
2584,HEAD,9,B,C06,Parental,HEAD,AHEAD,H2,H2-A22,1,0,0,0,0,0,28,0,1
2585,HEAD,9,B,D09,Parental,HEAD,AHEAD,H2,H2-A12,0,0,0,0,0,0,0,NA,1
2586,HEAD,9,B,D23,Parental,HEAD,AHEAD,H2,H2-A19,1,1,1,1,0,0,234,0,1
2587,HEAD,9,B,E27,Parental,HEAD,AHEAD,H1,H1-A05R,1,1,1,1,1,0,289,1,0
2588,HEAD,9,B,F08,Parental,HEAD,AHEAD,H1,H1-A14R,1,1,1,1,1,0,289,1,0
2589,HEAD,9,B,G22,Parental,HEAD,AHEAD,H0,H0-62,0,0,0,0,0,0,0,NA,1
2590,HEAD,9,B,H05,Parental,HEAD,AHEAD,H0,H0-57,1,0,0,0,0,0,5,0,1
2591,HEAD,9,B,H28,Parental,HEAD,AHEAD,H1,H1-A12R,1,1,1,1,1,0,283,1,0
2592,HEAD,9,B,H32,Parental,HEAD,AHEAD,H0,H0-55,1,1,1,1,1,0,186,0,1
2593,HEAD,9,B,I07,Parental,HEAD,AHEAD,H1,H1-A01R,1,1,0,0,0,0,1,0,1
2594,HEAD,9,B,I09,Parental,HEAD,AHEAD,H2,H2-A25,1,1,1,1,0,0,167,0,1
2595,HEAD,9,B,I12,Parental,HEAD,AHEAD,H2,H2-A08,0,0,0,0,0,0,0,NA,1
2596,HEAD,9,B,I16,Parental,HEAD,AHEAD,H1,H1-A25R,1,1,1,1,1,0,287,1,0
2597,HEAD,9,B,I17,Parental,HEAD,AHEAD,H0,H0-63,1,1,1,1,1,0,257,0,1
2598,HEAD,9,B,I36,Parental,HEAD,AHEAD,H1,H1-A18R,1,1,1,1,0,0,225,0,1
2599,HEAD,9,B,K09,Parental,HEAD,AHEAD,H1,H1-A32R,1,1,1,1,1,1,190,0,1
2600,HEAD,9,B,K12,Parental,HEAD,AHEAD,H1,H1-A07R,1,1,1,1,1,0,261,0,1
2601,HEAD,9,B,K29,Parental,HEAD,AHEAD,H1,H1-A13R,1,1,1,1,0,0,287,1,0
2602,HEAD,9,B,K40,Parental,HEAD,AHEAD,H1,H1-A09R,1,1,1,1,1,0,184,0,1
2603,HEAD,9,B,L15,Parental,HEAD,AHEAD,H1,H1-A04R,1,1,1,1,1,1,291,1,0
2604,HEAD,9,B,M15,Parental,HEAD,AHEAD,H1,H1-A06R,1,1,1,1,1,1,291,1,0
2605,HEAD,9,B,M22,Parental,HEAD,AHEAD,H2,H2-A13,0,0,0,0,0,0,0,NA,1
2606,HEAD,9,B,M39,Parental,HEAD,AHEAD,H1,H1-A10R,1,1,1,1,1,0,229,0,1
2607,HEAD,9,B,N36,Parental,HEAD,AHEAD,H2,H2-A04,1,1,1,1,1,0,186,0,1
2608,HEAD,9,B,O27,Parental,HEAD,AHEAD,H1,H1-A31R,1,1,1,1,1,0,285,1,0
2609,HEAD,9,C,A16,Parental,HEAD,AHEAD,H1,H1-A22R,1,1,1,1,1,0,287,1,0
2610,HEAD,9,C,A33,Parental,HEAD,AHEAD,H1,H1-A28R,1,1,1,0,0,0,147,0,1
2611,HEAD,9,C,B06,Parental,HEAD,AHEAD,H2,H2-A27,1,1,1,0,0,0,147,0,1
2612,HEAD,9,C,C03,Parental,HEAD,AHEAD,H0,H0-58,1,1,1,0,0,0,147,0,1
2613,HEAD,9,C,C19,Parental,HEAD,AHEAD,H0,H0-22,0,0,0,0,0,0,0,NA,1
2614,HEAD,9,C,C37,Parental,HEAD,AHEAD,H0,H0-49,1,0,1,0,0,0,49,0,1
2615,HEAD,9,C,D14,Parental,HEAD,AHEAD,H2,H2-A16,1,1,1,0,0,0,101,0,1
2616,HEAD,9,C,D27,Parental,HEAD,AHEAD,H1,H1-A24R,1,1,1,1,0,0,277,1,0
2617,HEAD,9,C,D34,Parental,HEAD,AHEAD,H1,H1-A15R,1,1,1,1,0,0,242,0,1
2618,HEAD,9,C,E17,Parental,HEAD,AHEAD,H1,H1-A20R,1,1,1,1,1,0,287,1,0
2619,HEAD,9,C,F01,Parental,HEAD,AHEAD,H2,H2-A07,0,0,0,0,0,0,0,NA,1
2620,HEAD,9,C,F08,Parental,HEAD,AHEAD,H1,H1-A11R,1,0,0,0,0,0,48,0,1
2621,HEAD,9,C,F14,Parental,HEAD,AHEAD,H0,H0-73,0,0,0,0,0,0,0,NA,1
2622,HEAD,9,C,F16,Parental,HEAD,AHEAD,H0,H0-88,1,1,1,1,0,0,167,0,1
2623,HEAD,9,C,G23,Parental,HEAD,AHEAD,H0,H0-71,1,0,0,0,0,0,24,0,1
2624,HEAD,9,C,H22,Parental,HEAD,AHEAD,H1,H1-A27R,1,1,1,1,1,0,263,0,1
2625,HEAD,9,C,I24,Parental,HEAD,AHEAD,H2,H2-A06,1,1,1,1,1,0,190,0,1
2626,HEAD,9,C,I26,Parental,HEAD,AHEAD,H2,H2-A24,1,1,1,1,1,0,208,0,1
2627,HEAD,9,C,K03,Parental,HEAD,AHEAD,H2,H2-A03,1,1,1,0,0,0,147,0,1
2628,HEAD,9,C,L09,Parental,HEAD,AHEAD,H2,H2-A01,1,1,0,0,0,0,67,0,1
2629,HEAD,9,C,L26,Parental,HEAD,AHEAD,H0,H0-69,1,0,0,0,0,0,5,0,1
2630,HEAD,9,C,L29,Parental,HEAD,AHEAD,H2,H2-A18,0,0,0,0,0,0,0,NA,1
2631,HEAD,9,C,N10,Parental,HEAD,AHEAD,H0,H0-72,0,0,0,0,0,0,0,NA,1
2632,HEAD,9,C,N17,Parental,HEAD,AHEAD,H2,H2-A02,1,0,0,0,0,0,18,0,1
2633,HEAD,9,C,N18,Parental,HEAD,AHEAD,H0,H0-51,0,0,0,0,0,0,0,NA,1
2634,HEAD,9,C,N36,Parental,HEAD,AHEAD,H0,H0-82,1,0,0,0,0,0,1,0,1
2635,HEAD,9,C,N38,Parental,HEAD,AHEAD,H1,H1-A19R,1,1,1,0,1,0,99,0,1
2636,HEAD,9,C,O10,Parental,HEAD,AHEAD,H1,H1-A02R,1,0,0,0,0,0,44,0,1
2637,HEAD,9,C,O20,Parental,HEAD,AHEAD,H1,H1-A17R,1,1,0,0,0,0,69,0,1
2638,HEAD,9,C,O27,Parental,HEAD,AHEAD,H2,H2-A15,1,1,1,0,0,0,147,0,1
2639,HEAD,9,C,O31,Parental,HEAD,AHEAD,H0,H0-68,0,0,0,0,0,0,0,NA,1
2640,HEAD,10,A,A13,Parental,HEAD,AHEAD,H2,H2-A10,1,0,0,0,0,0,18,0,1
2641,HEAD,10,A,A30,Parental,HEAD,AHEAD,H2,H2-A17,0,0,0,0,0,0,0,NA,1
2642,HEAD,10,A,B12,Parental,HEAD,AHEAD,H2,H2-A11,1,1,1,1,1,0,289,1,0
2643,HEAD,10,A,B37,Parental,HEAD,AHEAD,H1,H1-A21R,0,0,0,0,0,0,0,NA,1
2644,HEAD,10,A,C01,Parental,HEAD,AHEAD,H0,H0-59,0,0,0,0,0,0,0,NA,1
2645,HEAD,10,A,C31,Parental,HEAD,AHEAD,H2,H2-A14,0,0,0,0,0,0,0,NA,1
2646,HEAD,10,A,E09,Parental,HEAD,AHEAD,H0,H0-50,1,1,1,0,0,0,77,0,1
2647,HEAD,10,A,H08,Parental,HEAD,AHEAD,H0,H0-52,0,0,0,0,0,0,0,NA,1
2648,HEAD,10,A,I32,Parental,HEAD,AHEAD,H0,H0-61,0,0,0,0,0,0,0,NA,1
2649,HEAD,10,A,I35,Parental,HEAD,AHEAD,H1,H1-A23R,0,0,0,0,0,0,0,NA,1
2650,HEAD,10,A,I38,Parental,HEAD,AHEAD,H0,H0-67,1,0,0,0,0,0,9,0,1
2651,HEAD,10,A,J15,Parental,HEAD,AHEAD,H1,H1-A29R,1,1,1,1,0,0,116,0,1
2652,HEAD,10,A,J17,Parental,HEAD,AHEAD,H2,H2-A28,0,0,0,0,0,0,0,NA,1
2653,HEAD,10,A,K11,Parental,HEAD,AHEAD,H0,H0-78,1,1,1,1,1,1,188,0,1
2654,HEAD,10,A,L05,Parental,HEAD,AHEAD,H0,H0-56,0,0,0,0,0,0,0,NA,1
2655,HEAD,10,A,M05,Parental,HEAD,AHEAD,H1,H1-A16R,1,1,1,0,1,0,149,0,1
2656,HEAD,10,A,M23,Parental,HEAD,AHEAD,H0,H0-190,0,0,0,0,0,0,0,NA,1
2657,HEAD,10,A,M26,Parental,HEAD,AHEAD,H0,H0-76,1,1,1,0,1,1,99,0,1
2658,HEAD,10,A,N13,Parental,HEAD,AHEAD,H2,H2-A21,1,1,1,1,0,0,116,0,1
2659,HEAD,10,A,N14,Parental,HEAD,AHEAD,H2,H2-A05,1,1,1,0,0,0,77,0,1
2660,HEAD,10,A,N32,Parental,HEAD,AHEAD,H0,H0-54,1,1,1,0,1,1,147,0,1
2661,HEAD,10,A,N35,Parental,HEAD,AHEAD,H2,H2-A20,0,0,0,0,0,0,0,NA,1
2662,HEAD,10,B,B18,Parental,HEAD,AHEAD,H1,H1-A03R,1,1,1,0,0,0,29,0,1
2663,HEAD,10,B,B33,Parental,HEAD,AHEAD,H1,H1-A30R,1,1,1,1,1,1,186,0,1
2664,HEAD,10,B,C06,Parental,HEAD,AHEAD,H2,H2-A22,0,0,0,0,0,0,0,NA,1
2665,HEAD,10,B,D09,Parental,HEAD,AHEAD,H2,H2-A12,1,1,1,0,0,0,77,0,1
2666,HEAD,10,B,D23,Parental,HEAD,AHEAD,H2,H2-A19,0,0,0,0,0,0,0,0,1
2667,HEAD,10,B,E27,Parental,HEAD,AHEAD,H1,H1-A05R,1,0,0,0,0,0,9,0,1
2668,HEAD,10,B,F08,Parental,HEAD,AHEAD,H1,H1-A14R,1,0,0,0,0,0,1,0,1
2669,HEAD,10,B,G22,Parental,HEAD,AHEAD,H0,H0-62,1,1,1,1,0,0,186,0,1
2670,HEAD,10,B,H05,Parental,HEAD,AHEAD,H0,H0-57,1,1,1,0,0,0,77,0,1
2671,HEAD,10,B,H28,Parental,HEAD,AHEAD,H1,H1-A12R,0,0,0,0,0,0,0,NA,1
2672,HEAD,10,B,H32,Parental,HEAD,AHEAD,H0,H0-55,1,1,1,0,0,0,95,0,1
2673,HEAD,10,B,I07,Parental,HEAD,AHEAD,H1,H1-A01R,1,0,0,0,0,0,16,0,1
2674,HEAD,10,B,I09,Parental,HEAD,AHEAD,H2,H2-A25,0,0,0,0,0,0,0,NA,1
2675,HEAD,10,B,I12,Parental,HEAD,AHEAD,H2,H2-A08,1,1,1,0,0,0,104,0,1
2676,HEAD,10,B,I16,Parental,HEAD,AHEAD,H1,H1-A25R,1,1,1,0,1,0,104,0,1
2677,HEAD,10,B,I17,Parental,HEAD,AHEAD,H0,H0-63,1,0,0,0,0,0,28,0,1
2678,HEAD,10,B,I36,Parental,HEAD,AHEAD,H1,H1-A18R,1,1,1,1,1,0,186,0,1
2679,HEAD,10,B,K09,Parental,HEAD,AHEAD,H1,H1-A32R,1,1,1,0,0,0,147,0,1
2680,HEAD,10,B,K12,Parental,HEAD,AHEAD,H1,H1-A07R,1,1,1,0,1,0,147,0,1
2681,HEAD,10,B,K29,Parental,HEAD,AHEAD,H1,H1-A13R,1,1,1,0,0,0,147,0,1
2682,HEAD,10,B,K40,Parental,HEAD,AHEAD,H1,H1-A09R,1,1,1,0,0,0,147,0,1
2683,HEAD,10,B,L15,Parental,HEAD,AHEAD,H1,H1-A04R,1,1,1,0,1,0,147,0,1
2684,HEAD,10,B,M15,Parental,HEAD,AHEAD,H1,H1-A06R,0,0,0,0,0,0,0,NA,1
2685,HEAD,10,B,M22,Parental,HEAD,AHEAD,H2,H2-A13,1,1,1,0,0,0,128,0,1
2686,HEAD,10,B,M39,Parental,HEAD,AHEAD,H1,H1-A10R,0,0,0,0,0,0,0,NA,1
2687,HEAD,10,B,N36,Parental,HEAD,AHEAD,H2,H2-A04,0,0,0,0,0,0,0,NA,1
2688,HEAD,10,B,O27,Parental,HEAD,AHEAD,H1,H1-A31R,1,1,1,0,0,0,147,0,1
2689,HEAD,10,C,A16,Parental,HEAD,AHEAD,H1,H1-A22R,0,0,0,0,0,0,0,NA,1
2690,HEAD,10,C,A33,Parental,HEAD,AHEAD,H1,H1-A28R,1,1,1,0,1,1,145,0,1
2691,HEAD,10,C,B06,Parental,HEAD,AHEAD,H2,H2-A27,0,0,0,0,0,0,0,NA,1
2692,HEAD,10,C,C03,Parental,HEAD,AHEAD,H0,H0-58,1,1,1,0,0,0,139,0,1
2693,HEAD,10,C,C19,Parental,HEAD,AHEAD,H0,H0-22,1,0,0,0,0,0,1,0,1
2694,HEAD,10,C,C37,Parental,HEAD,AHEAD,H0,H0-49,0,0,0,0,0,0,0,NA,1
2695,HEAD,10,C,D14,Parental,HEAD,AHEAD,H2,H2-A16,1,0,0,0,0,0,1,0,1
2696,HEAD,10,C,D27,Parental,HEAD,AHEAD,H1,H1-A24R,1,1,1,1,0,0,167,0,1
2697,HEAD,10,C,D34,Parental,HEAD,AHEAD,H1,H1-A15R,1,1,1,1,1,0,186,0,1
2698,HEAD,10,C,E17,Parental,HEAD,AHEAD,H1,H1-A20R,1,1,1,1,1,0,261,0,1
2699,HEAD,10,C,F01,Parental,HEAD,AHEAD,H2,H2-A07,0,0,0,0,0,0,0,NA,1
2700,HEAD,10,C,F08,Parental,HEAD,AHEAD,H1,H1-A11R,1,0,0,0,0,0,1,0,1
2701,HEAD,10,C,F14,Parental,HEAD,AHEAD,H0,H0-73,1,1,1,0,0,0,145,0,1
2702,HEAD,10,C,F16,Parental,HEAD,AHEAD,H0,H0-88,1,1,1,0,0,0,80,0,1
2703,HEAD,10,C,G23,Parental,HEAD,AHEAD,H0,H0-71,0,0,0,0,0,0,0,NA,1
2704,HEAD,10,C,H22,Parental,HEAD,AHEAD,H1,H1-A27R,1,1,1,1,1,0,186,0,1
2705,HEAD,10,C,I24,Parental,HEAD,AHEAD,H2,H2-A06,1,1,1,1,0,0,186,0,1
2706,HEAD,10,C,I26,Parental,HEAD,AHEAD,H2,H2-A24,1,1,1,0,0,0,143,0,1
2707,HEAD,10,C,K03,Parental,HEAD,AHEAD,H2,H2-A03,1,1,1,1,1,1,261,0,1
2708,HEAD,10,C,L09,Parental,HEAD,AHEAD,H2,H2-A01,1,1,1,1,1,0,184,0,1
2709,HEAD,10,C,L26,Parental,HEAD,AHEAD,H0,H0-69,0,0,0,0,0,0,0,0,1
2710,HEAD,10,C,L29,Parental,HEAD,AHEAD,H2,H2-A18,0,0,0,0,0,0,0,NA,1
2711,HEAD,10,C,N10,Parental,HEAD,AHEAD,H0,H0-72,1,1,1,0,1,0,147,0,1
2712,HEAD,10,C,N17,Parental,HEAD,AHEAD,H2,H2-A02,0,0,0,0,0,0,0,0,1
2713,HEAD,10,C,N18,Parental,HEAD,AHEAD,H0,H0-51,1,0,0,0,0,0,42,0,1
2714,HEAD,10,C,N36,Parental,HEAD,AHEAD,H0,H0-82,0,0,0,0,0,0,0,NA,1
2715,HEAD,10,C,N38,Parental,HEAD,AHEAD,H1,H1-A19R,1,1,1,1,1,1,227,0,1
2716,HEAD,10,C,O10,Parental,HEAD,AHEAD,H1,H1-A02R,0,0,0,0,0,0,0,NA,1
2717,HEAD,10,C,O20,Parental,HEAD,AHEAD,H1,H1-A17R,0,0,0,0,0,0,0,NA,1
2718,HEAD,10,C,O27,Parental,HEAD,AHEAD,H2,H2-A15,1,1,1,0,1,0,149,0,1
2719,HEAD,10,C,O31,Parental,HEAD,AHEAD,H0,H0-68,1,1,1,0,0,0,143,0,1
2720,HEAD,11,A,A13,Parental,HEAD,AHEAD,H2,H2-A10,1,1,1,0,0,0,104,0,1
2721,HEAD,11,A,A30,Parental,HEAD,AHEAD,H2,H2-A17,1,0,0,0,0,0,1,0,1
2722,HEAD,11,A,B12,Parental,HEAD,AHEAD,H2,H2-A11,1,0,0,0,0,0,1,0,1
2723,HEAD,11,A,B37,Parental,HEAD,AHEAD,H1,H1-A21R,0,0,0,0,0,0,0,NA,1
2724,HEAD,11,A,C01,Parental,HEAD,AHEAD,H0,H0-59,1,1,1,0,0,0,145,0,1
2725,HEAD,11,A,C31,Parental,HEAD,AHEAD,H2,H2-A14,1,1,1,0,0,0,77,0,1
2726,HEAD,11,A,E09,Parental,HEAD,AHEAD,H0,H0-50,0,0,0,0,0,0,0,NA,1
2727,HEAD,11,A,H08,Parental,HEAD,AHEAD,H0,H0-52,1,0,0,0,0,0,1,0,1
2728,HEAD,11,A,I32,Parental,HEAD,AHEAD,H0,H0-61,1,0,0,0,0,0,3,0,1
2729,HEAD,11,A,I35,Parental,HEAD,AHEAD,H1,H1-A23R,0,0,0,0,0,0,0,NA,1
2730,HEAD,11,A,I38,Parental,HEAD,AHEAD,H0,H0-67,1,0,0,0,0,0,28,0,1
2731,HEAD,11,A,J15,Parental,HEAD,AHEAD,H1,H1-A29R,1,1,1,1,1,0,285,1,0
2732,HEAD,11,A,J17,Parental,HEAD,AHEAD,H2,H2-A28,0,0,0,0,0,0,0,NA,1
2733,HEAD,11,A,K11,Parental,HEAD,AHEAD,H0,H0-78,1,1,1,1,1,0,285,1,0
2734,HEAD,11,A,L05,Parental,HEAD,AHEAD,H0,H0-56,0,0,0,0,0,0,0,NA,1
2735,HEAD,11,A,M05,Parental,HEAD,AHEAD,H1,H1-A16R,1,0,0,0,0,0,46,0,1
2736,HEAD,11,A,M23,Parental,HEAD,AHEAD,H0,H0-190,0,0,0,0,0,0,0,NA,1
2737,HEAD,11,A,M26,Parental,HEAD,AHEAD,H0,H0-76,0,0,0,0,0,0,0,NA,1
2738,HEAD,11,A,N13,Parental,HEAD,AHEAD,H2,H2-A21,0,0,0,0,0,0,0,NA,1
2739,HEAD,11,A,N14,Parental,HEAD,AHEAD,H2,H2-A05,0,0,0,0,0,0,0,NA,1
2740,HEAD,11,A,N32,Parental,HEAD,AHEAD,H0,H0-54,0,0,0,0,0,0,0,NA,1
2741,HEAD,11,A,N35,Parental,HEAD,AHEAD,H2,H2-A20,0,0,0,0,0,0,0,NA,1
2742,HEAD,11,B,B18,Parental,HEAD,AHEAD,H1,H1-A03R,1,1,1,1,1,1,188,0,1
2743,HEAD,11,B,B33,Parental,HEAD,AHEAD,H1,H1-A30R,1,0,0,0,0,0,46,0,1
2744,HEAD,11,B,C06,Parental,HEAD,AHEAD,H2,H2-A22,0,0,0,0,0,0,0,NA,1
2745,HEAD,11,B,D09,Parental,HEAD,AHEAD,H2,H2-A12,1,1,1,1,1,1,186,0,1
2746,HEAD,11,B,D23,Parental,HEAD,AHEAD,H2,H2-A19,1,1,1,1,1,0,188,0,1
2747,HEAD,11,B,E27,Parental,HEAD,AHEAD,H1,H1-A05R,1,1,1,1,1,0,231,0,1
2748,HEAD,11,B,F08,Parental,HEAD,AHEAD,H1,H1-A14R,1,1,1,1,1,0,186,0,1
2749,HEAD,11,B,G22,Parental,HEAD,AHEAD,H0,H0-62,1,1,1,1,1,0,287,1,0
2750,HEAD,11,B,H05,Parental,HEAD,AHEAD,H0,H0-57,1,1,1,1,1,0,186,0,1
2751,HEAD,11,B,H28,Parental,HEAD,AHEAD,H1,H1-A12R,1,1,1,1,0,0,180,0,1
2752,HEAD,11,B,H32,Parental,HEAD,AHEAD,H0,H0-55,1,1,1,0,0,0,77,0,1
2753,HEAD,11,B,I07,Parental,HEAD,AHEAD,H1,H1-A01R,1,0,0,0,0,0,24,0,1
2754,HEAD,11,B,I09,Parental,HEAD,AHEAD,H2,H2-A25,1,1,1,0,0,0,29,0,1
2755,HEAD,11,B,I12,Parental,HEAD,AHEAD,H2,H2-A08,1,1,1,1,1,0,167,0,1
2756,HEAD,11,B,I16,Parental,HEAD,AHEAD,H1,H1-A25R,1,1,1,1,1,0,188,0,1
2757,HEAD,11,B,I17,Parental,HEAD,AHEAD,H0,H0-63,1,1,1,1,1,0,186,0,1
2758,HEAD,11,B,I36,Parental,HEAD,AHEAD,H1,H1-A18R,0,0,0,0,0,0,0,NA,1
2759,HEAD,11,B,K09,Parental,HEAD,AHEAD,H1,H1-A32R,0,0,0,0,0,0,0,NA,1
2760,HEAD,11,B,K12,Parental,HEAD,AHEAD,H1,H1-A07R,1,1,1,0,1,1,149,0,1
2761,HEAD,11,B,K29,Parental,HEAD,AHEAD,H1,H1-A13R,1,1,1,1,1,0,188,0,1
2762,HEAD,11,B,K40,Parental,HEAD,AHEAD,H1,H1-A09R,1,1,1,1,1,0,227,0,1
2763,HEAD,11,B,L15,Parental,HEAD,AHEAD,H1,H1-A04R,1,0,0,0,0,0,32,0,1
2764,HEAD,11,B,M15,Parental,HEAD,AHEAD,H1,H1-A06R,0,0,0,0,0,0,0,NA,1
2765,HEAD,11,B,M22,Parental,HEAD,AHEAD,H2,H2-A13,1,1,1,1,1,0,167,0,1
2766,HEAD,11,B,M39,Parental,HEAD,AHEAD,H1,H1-A10R,1,1,1,0,0,0,104,0,1
2767,HEAD,11,B,N36,Parental,HEAD,AHEAD,H2,H2-A04,0,0,0,0,0,0,0,NA,1
2768,HEAD,11,B,O27,Parental,HEAD,AHEAD,H1,H1-A31R,1,1,1,1,1,1,190,0,1
2769,HEAD,11,C,A16,Parental,HEAD,AHEAD,H1,H1-A22R,1,1,1,0,0,0,128,0,1
2770,HEAD,11,C,A33,Parental,HEAD,AHEAD,H1,H1-A28R,1,1,1,1,1,0,291,1,0
2771,HEAD,11,C,B06,Parental,HEAD,AHEAD,H2,H2-A27,1,1,1,1,1,1,289,1,0
2772,HEAD,11,C,C03,Parental,HEAD,AHEAD,H0,H0-58,1,1,1,0,0,0,137,0,1
2773,HEAD,11,C,C19,Parental,HEAD,AHEAD,H0,H0-22,1,1,1,1,1,1,291,1,0
2774,HEAD,11,C,C37,Parental,HEAD,AHEAD,H0,H0-49,0,0,0,0,0,0,0,NA,1
2775,HEAD,11,C,D14,Parental,HEAD,AHEAD,H2,H2-A16,1,1,1,1,1,1,291,1,0
2776,HEAD,11,C,D27,Parental,HEAD,AHEAD,H1,H1-A24R,0,0,0,0,0,0,0,NA,1
2777,HEAD,11,C,D34,Parental,HEAD,AHEAD,H1,H1-A15R,0,0,0,0,0,0,0,NA,1
2778,HEAD,11,C,E17,Parental,HEAD,AHEAD,H1,H1-A20R,1,1,1,1,1,0,289,1,0
2779,HEAD,11,C,F01,Parental,HEAD,AHEAD,H2,H2-A07,1,1,1,0,0,0,104,0,1
2780,HEAD,11,C,F08,Parental,HEAD,AHEAD,H1,H1-A11R,1,0,0,0,0,0,5,0,1
2781,HEAD,11,C,F14,Parental,HEAD,AHEAD,H0,H0-73,0,0,0,0,0,0,0,NA,1
2782,HEAD,11,C,F16,Parental,HEAD,AHEAD,H0,H0-88,0,0,0,0,0,0,0,NA,1
